Name,Year Published,Mechanics,Rating Average
Erune,0.0,"Action Points, Dice Rolling, Modular Board, Paper-and-Pencil, Role Playing, Team-Based Game","9,58"
DEFCON 1,2021.0,Variable Player Powers,"9,54"
Star Trek: Alliance - Dominion War Campaign,2021.0,Cooperative Game,"9,46"
TerroriXico,2017.0,"Area Majority / Influence, Cooperative Game, Deck Bag and Pool Building, Hand Management, Memory, Take That","9,43"
Aeolis,2020.0,"Area Majority / Influence, Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Tile Placement","9,43"
Company of Heroes,2020.0,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Simulation, Variable Player Powers","9,34"
Wings of the Motherland,2019.0,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Simulation","9,31"
Deliverance,2020.0,"Action Points, Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Storytelling, Variable Player Powers","9,25"
War Titans: Invaders Must Die!,0.0,"Cooperative Game, Hand Management, Point to Point Movement, Variable Player Powers","9,24"
Human Punishment: The Beginning,2021.0,"Area Movement, Dice Rolling, Hand Management, Hidden Roles, Pick-up and Deliver, Set Collection, Team-Based Game, Traitor Game, Variable Player Powers, Voting","9,24"
Gladiatoris,2009.0,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers","9,23"
Sheol,2021.0,"Action Points, Cooperative Game, Grid Movement, Narrative Choice / Paragraph","9,23"
Tindaya,0.0,"Area Majority / Influence, Cooperative Game, End Game Bonuses, Events, Grid Movement, Hexagon Grid, Hidden Victory Points, Modular Board, Negotiation, Scenario / Mission / Campaign Game, Semi-Cooperative Game, Solo / Solitaire Game, Tile Placement, Traitor Game, Turn Order: Stat-Based, Variable Set-up, Worker Placement, Different Worker Types","9,22"
Thug Life the Game,0.0,"Area Majority / Influence, Dice Rolling, Simulation, Storytelling, Take That","9,21"
The Adventure Zone: Bureau of Balance Game,2020.0,"Cooperative Game, Critical Hits and Failures, Modular Board, Move Through Deck, Storytelling","9,19"
Composition,2020.0,"Card Drafting, Variable Player Powers","9,19"
